compound_id,smiles_raw,nan,iupac_name,for reference --> (before cleansed),tabular IUPAC (unformatted),flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,provenance_file,provenance_sheet,provenance_row
37,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(Cl)C=C1,nan,3-acetyl-8-bromo-5-chloro-1-((4-chlorophenyl)sulfonyl)-2-(methylthio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-1-((4- chlorophenyl)sulfonyl)-2-(methylthio)quinolin- 4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,39
38,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(N(O)=O)C=C1,nan,3-acetyl-8-bromo-5-chloro-2-(methylthio)-1-((4-nitrophenyl)sulfonyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-(methylthio)-1-((4- nitrophenyl)sulfonyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,40
39,CCS(=O)(=O)N1C2=C(Br)C=CC(Cl)=C2C(=O)/C(C(C)=O)=C\1S(C)=O,nan,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2-(methylsulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2- (methylsulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,41
40,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,nan,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylthio)quinolin-4(1H)-one,nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,42
41,CC(=O)/C1=C(\S(C)(=O)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-1-((4-(tert- butyl)phenyl)sulfonyl)-5-chloro-2- (methylsulfonyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,43
42,CC(=O)/C1=C(\S(C)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-1-((4-(tert- butyl)phenyl)sulfonyl)-5-chloro-2- (methylsulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,44
43,CC(=O)/C1=C(\SCC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)thio)quinolin-4(1H)-one",nan,"3-acetyl-8-bromo-5-chloro-2-((2,5- dichlorobenzyl)thio)quinolin-4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,45
44,CC(=O)/C1=C(\S(=O)CC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)sulfinyl)quinolin-4(1H)-one",nan,"3-acetyl-8-bromo-5-chloro-2-((2,5- dichlorobenzyl)sulfinyl)quinolin-4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,46
45,CC(=O)/C1=C(\SCC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)thio)quinolin-4(1H)-one",nan,"3-acetyl-8-bromo-5-chloro-2-((3,5- difluorobenzyl)thio)quinolin-4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,47
46,CC(=O)/C1=C(\S(=O)CC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,48
47,CC(=O)/C1=C(\SCC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)thio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((3- iodobenzyl)thio)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,49
48,CC(=O)/C1=C(\S(=O)CC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)sulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((3- iodobenzyl)sulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,50
49,CC(=O)/C1=C(\SCC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)thio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((3- fluorobenzyl)thio)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,51
50,CC(=O)/C1=C(\S(=O)CC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((3- fluorobenzyl)sulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,52
51,CC(=O)/C1=C(\S(=O)CC2=NOC(C)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,53
52,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1SCC1=CC=CC=C1,nan,1-(2-(benzylthio)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,nan,1-(2-(benzylthio)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,54
53,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)CC1=CC=CC=C1,nan,1-(2-(benzylsulfinyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,nan,1-(2-(benzylsulfinyl)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,55
54,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)(=O)CC1=CC=CC=C1,nan,1-(2-(benzylsulfonyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,nan,1-(2-(benzylsulfonyl)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,56
55,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC=C1,nan,3-acetyl-8-bromo-5-chloro-2-((3-methoxybenzyl)sulfinyl)quinolin-4(1H)-one,nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,57
56,CC(=O)/C1=C(\S(=O)CC2=CC=C(SC(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((4- ((trifluoromethyl)thio)benzyl)sulfinyl)quinolin- 4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,58
57,CC(=O)/C1=C(\S(=O)CC2=CC=C(N(O)=O)C=C2)NC2=C(Cl)C=CC(Cl)=C2C1=O,nan,"3-acetyl-5,8-dichloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one",nan,"3-acetyl-5,8-dichloro-2-((4- nitrobenzyl)sulfinyl)quinolin-4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,59
58,CC(=O)/C1=C(\S(=O)CC2=C(C#N)C=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,"2-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",nan,"2-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,60
59,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC(OC)=C1,nan,"3-acetyl-8-bromo-5-chloro-2-((3,5-dimethoxybenzyl)sulfinyl)quinolin-4(1H)-one",nan,"3-acetyl-8-bromo-5-chloro-2-((3,5- dimethoxybenzyl)sulfinyl)quinolin-4(1H)-one",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,61
