Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
46.0,CC(=O)/C1=C(\S(=O)CC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",,,
47.0,CC(=O)/C1=C(\SCC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)thio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3- iodobenzyl)thio)quinolin-4(1H)-one,
48.0,CC(=O)/C1=C(\S(=O)CC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3- iodobenzyl)sulfinyl)quinolin-4(1H)-one,
49.0,CC(=O)/C1=C(\SCC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)thio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3- fluorobenzyl)thio)quinolin-4(1H)-one,
50.0,CC(=O)/C1=C(\S(=O)CC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3- fluorobenzyl)sulfinyl)quinolin-4(1H)-one,
51.0,CC(=O)/C1=C(\S(=O)CC2=NOC(C)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,
52.0,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1SCC1=CC=CC=C1,,1-(2-(benzylthio)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,,1-(2-(benzylthio)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,
53.0,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)CC1=CC=CC=C1,,1-(2-(benzylsulfinyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,,1-(2-(benzylsulfinyl)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,
54.0,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)(=O)CC1=CC=CC=C1,,1-(2-(benzylsulfonyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,,1-(2-(benzylsulfonyl)-8-bromo-5-chloro-4- hydroxyquinolin-3-yl)ethan-1-one,
55.0,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC=C1,,3-acetyl-8-bromo-5-chloro-2-((3-methoxybenzyl)sulfinyl)quinolin-4(1H)-one,,,
56.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(SC(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4- ((trifluoromethyl)thio)benzyl)sulfinyl)quinolin- 4(1H)-one,
57.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(N(O)=O)C=C2)NC2=C(Cl)C=CC(Cl)=C2C1=O,,"3-acetyl-5,8-dichloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-dichloro-2-((4- nitrobenzyl)sulfinyl)quinolin-4(1H)-one",
58.0,CC(=O)/C1=C(\S(=O)CC2=C(C#N)C=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"2-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",,"2-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",
59.0,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC(OC)=C1,,"3-acetyl-8-bromo-5-chloro-2-((3,5-dimethoxybenzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-((3,5- dimethoxybenzyl)sulfinyl)quinolin-4(1H)-one",
60.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(C)(C)C)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-2-((4-(tert-butyl)benzyl)sulfinyl)-5-chloroquinolin-4(1H)-one,,3-acetyl-8-bromo-2-((4-(tert- butyl)benzyl)sulfinyl)-5-chloroquinolin-4(1H)-one,
