compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
DECNSXINNROOLX-CQSZACIVSA-N,Cc1cc2cc(C(=O)N(Cc3cnc(C(F)(F)F)cn3)[C@H](C)c3ccc(F)cn3)ccc2nc1N,True,2-amino-N-((lR)-l-(5-fluoro-2-pyridinyl)ethyl)-3-methyl-N-((5-(trifluoromethy 1) -2-pyrazinyl)methy 1)-6-quinolinecarboxamide,DECNSXINNROOLX
DIBXWPTWLMSSNK-CQSZACIVSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)nn3)[C@H](C)c3ncccn3)ccc2nc1N,True,2-am ino-3 -methy 1-N- ((lR)-l-(2- pyrimidiny l)ethy 1)-N - ((6-(trifluoromethy 1)-3 - pyridazinyl)methyl)-6- quinolinecarboxamide,DIBXWPTWLMSSNK
DJGYKILXHLWBPL-WOJBJXKFSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)F)cn3)[C@@H]3CCC[C@H]3O)ccc2nc1N,True,"2-amino-N-((5-(difluoromethyl)pyridin-2- yl)methyl)-N-((lR,2R)-2- hydroxycyclopentyl)-3-methylquinoline-6- carboxamide",DJGYKILXHLWBPL
DKHPSPVYYHODHX-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(CC#CCO)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,2-amino-N-(4-hydroxybut-2-ynyl)-3- methyl-N-[[5-(trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,DKHPSPVYYHODHX
DKQMYFQVDWMTFY-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)C3CCCC3C#N)c(F)cc2nc1N,True,2-amino-N-(2-cyanocyclopentyl)-7- fluoro-3 -methy 1-N - [ [5 - (trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,DKQMYFQVDWMTFY
DMQMILTWFNMFQL-GFCCVEGCSA-N,C[C@H](c1ncccn1)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1cc2cc(Cl)c(N)nc2cn1,True,"2 -amino -3 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methy 1)-1,7-naphthyridine-6- carboxamide",DMQMILTWFNMFQL
DNCDXBDELHKCPS-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3cccc(-n4ccnn4)c3)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,2-amino-3 -methy 1-N - [ [3 -(triazol-1 - yl)phenyl]methyl]-N-[[5- (trifluorome thy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,DNCDXBDELHKCPS
DPHNEESDYCDXPZ-CQSZACIVSA-N,COc1ccc(CN(C(=O)c2ccc3nc(N)c(C)cc3c2)[C@H](C)c2ncn(C)n2)nn1,True,"(R) -2 -amino -N- ((6 - methoxy py ridazin-3 - yl)methyl)-3-methyl-N- (l-(l-methyl-lH-l,2,4- triazol-3- yl)ethyl)quinoline-6- carboxamide",DPHNEESDYCDXPZ
DPHNEESDYCDXPZ-UHFFFAOYSA-N,COc1ccc(CN(C(=O)c2ccc3nc(N)c(C)cc3c2)C(C)c2ncn(C)n2)nn1,True,"2-amino-N-((6-methoxypyridazin-3- yl)methyl)-3-methyl-N-(l-(l-methyl-lH- l,2,4-triazol-3-yl)ethyl)quinoline-6- carboxamide",DPHNEESDYCDXPZ
DQNUJNXAROHPIT-CYBMUJFWSA-N,Cc1nc(CN(C(=O)c2cnc3nc(N)c(Br)cc3c2)[C@H](C)c2ncccn2)ccc1Br,True,"7-amino-6-bromo-N- ((5-bromo-6-methyl-2- pyridinyl)methyl)-N- ((lR)-l-(2- pyrimidiny l)ethy 1)-1,8- naphthyridine-3- carboxamide",DQNUJNXAROHPIT
DRRYJKIHGUVWQE-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)Cc3c(F)cccc3F)ccc2nc1N,True,"2 -amino -N-(2,6-difluorobenzyl) -3 -methy 1-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide",DRRYJKIHGUVWQE
DSPCDPWVLYEPIT-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3cc[nH]c3)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,N-((lH-pyrrol-3-y l)methy 1)-2- amino-3-methyl-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,DSPCDPWVLYEPIT
