compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
BYIYBXKHNAHRRH-UYAOXDASSA-N,Example 781,"2-amino-N-((3S,4R)-3- fluorotetrahydro-2H- pyran-4-y 1)-3 -methy 1- N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",,463.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,258
CBFZPXQJPFAARG-CYBMUJFWSA-N,Example 354,"7-amino-6-bromo-N-((5-cyano-2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2 - pyridinyl)ethyl)-l,8-naphthyridine-3- carboxamide",,506/508,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,56
CBLSECDBLSLTGO-UHFFFAOYSA-N,Example 341,2 -amino -N-((5 -fluoro -2 -py rimidiny l)methy 1) - 3 -methy l-N-((5 -(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,,471.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,43
CECCBMUNCUBWHC-NRFANRHFSA-N,Example 776,(S)-2-amino-3-bromo- N-(2-cyano-l- cyclopropylethyl)-N- ((5 -cy anopyridin-2- yl)methyl)quinoline-6- carboxamide,,475.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,253
CEDUEMYRCBAPNM-OAHLLOKOSA-N,Example 353,2-amino-N-((5-cyano-2-pyridinyl)methy 1)-7- fluoro-N-((lR)-l-(3-fluoro-2-pyridinyl)ethyl)- 3 -methy 1-6-quinolinecarboxamide,,459.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,55
CFSRIHNPIOFDDS-UHFFFAOYSA-N,Example 670,"2-amino-3-methyl-N-(4,5,6,7- tetrahydro-lH-benzimidazol-5-yl)-N- [ [ 5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide",,481.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,486
CFWXSGORTHRYME-UHFFFAOYSA-N,Example 301,2-amino-3 -methy l-N-(3 -pyridinylmethy 1)-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,,452.1,,Too blurry,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,3
CILMVBJHUWYVOS-UHFFFAOYSA-N,Example 694,2-amino-N-(2-cyanopropyl)-3- methyl-N-[ [5-(trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,,428.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,510
CLECUEUQDJKSIJ-CQSZACIVSA-N,Example 426,"7-amino-6-bromo-N-((5-(3-oxetanyloxy)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",,536/538,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,128
CNLPUOAHFNWBJD-OAQYLSRUSA-N,Example 518,2-amino-N-((R)-cyclopropyl(2- pyrimidiny l)methy 1)-3 -methyl- N-((6-(trifluoromethy 1)-3- pyridazinyl)methyl)-6- quinolinecarboxamide,,494.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,303
COSIGNDDPWBYFM-UHFFFAOYSA-N,Example 830,2-amino-3 -bromo-N-(3- methyltetrahydro-2H-pyran-4-yl)-N- ((5 -(trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6-carboxamide,,525.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,526
CSGBHAZUAYOHGC-HPRDVNIFSA-N,Example 398,2-amino-N-isobutyl-3-(methyl-d3)-N-((5- (trifluoromcthyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,,420.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,100
CTDIMSIVGLRHRB-UHFFFAOYSA-N,Example 656,2-amino-3-methy 1-N-(1 -methy Iprop- 2-yny 1) -N- [ [5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide,,413.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,472
CUSYPVNCPYUQPT-UHFFFAOYSA-N,Example 689,"2-amino-3 -methy 1-N-(1H- pyrrolo[2,3-b]pyridin-4-ylmethyl)-N- (lH-pyrrol-2-ylmethyl)quinoline-6- carboxamide",,411.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,505
