ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
428,0.08,nan,0.188,3.68,data/bronze/artifacts/2021_raw.xlsx,Table 19,131
429,0.91,nan,0.039,0.607,data/bronze/artifacts/2021_raw.xlsx,Table 19,132
430,0.42,nan,0.506,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,133
431,0.07,nan,0.173,3.21,data/bronze/artifacts/2021_raw.xlsx,Table 19,134
432,0.57,nan,0.024,0.11,data/bronze/artifacts/2021_raw.xlsx,Table 19,135
433,1.26,nan,0.821,1.17,data/bronze/artifacts/2021_raw.xlsx,Table 19,136
434,<0.1,nan,0.049,2.42,data/bronze/artifacts/2021_raw.xlsx,Table 19,137
435,0.08,nan,0.066,3.28,data/bronze/artifacts/2021_raw.xlsx,Table 19,138
436,0.14,nan,0.198,3.72,data/bronze/artifacts/2021_raw.xlsx,Table 19,139
437,0.29,nan,0.076,1.35,data/bronze/artifacts/2021_raw.xlsx,Table 19,140
438,0.76,nan,0.368,8.79,data/bronze/artifacts/2021_raw.xlsx,Table 19,141
439,1.19,nan,0.344,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,142
440,<0.1,nan,0.038,0.69,data/bronze/artifacts/2021_raw.xlsx,Table 19,143
441,0.06,nan,0.107,2.81,data/bronze/artifacts/2021_raw.xlsx,Table 19,144
442,6.87,nan,0.969,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,145
443,0.2,nan,0.096,2.08,data/bronze/artifacts/2021_raw.xlsx,Table 19,146
444,0.15,nan,0.327,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,147
445,0.53,nan,0.549,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,148
446,0.04,nan,0.045,0.851,data/bronze/artifacts/2021_raw.xlsx,Table 19,149
447,5.51,nan,0.673,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,150
448,0.32,nan,0.238,5.23,data/bronze/artifacts/2021_raw.xlsx,Table 19,151
449,0.27,nan,0.168,5.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,152
450,0.13,nan,0.045,2.02,data/bronze/artifacts/2021_raw.xlsx,Table 19,153
451,0.02,nan,0.013,0.232,data/bronze/artifacts/2021_raw.xlsx,Table 19,154
452,0.06,nan,0.022,0.48,data/bronze/artifacts/2021_raw.xlsx,Table 19,155
453,0.06,nan,0.065,1.72,data/bronze/artifacts/2021_raw.xlsx,Table 19,156
454,0.15,nan,0.252,3.94,data/bronze/artifacts/2021_raw.xlsx,Table 19,157
455,0.16,nan,0.1,2.94,data/bronze/artifacts/2021_raw.xlsx,Table 19,158
456,0.3,nan,0.039,0.816,data/bronze/artifacts/2021_raw.xlsx,Table 19,159
457,0.78,nan,0.717,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,160
458,0.84,nan,0.59,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,161
459,0.25,nan,0.078,2.34,data/bronze/artifacts/2021_raw.xlsx,Table 19,162
460,1.82,nan,0.155,7.85,data/bronze/artifacts/2021_raw.xlsx,Table 19,163
461,1.23,nan,0.322,7.78,data/bronze/artifacts/2021_raw.xlsx,Table 19,164
462,0.29,nan,0.349,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,165
463,1.23,nan,0.683,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,166
464,0.1,nan,0.071,1.51,data/bronze/artifacts/2021_raw.xlsx,Table 19,167
465,<0.1,nan,0.024,0.508,data/bronze/artifacts/2021_raw.xlsx,Table 19,168
466,0.13,nan,0.269,4.27,data/bronze/artifacts/2021_raw.xlsx,Table 19,169
467,0.21,nan,0.028,0.248,data/bronze/artifacts/2021_raw.xlsx,Table 19,170
