sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 22,CC1=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=NC(C2=C(C(C)C)C=CC=C2)=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,24,usp1_ic50_grade,++++
Compound Structure 23,CC(C)C1=C(F)C=CC=C1C1=N/C2=C(C=NN2CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)/C=N\1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,25,usp1_ic50_grade,++++
Compound Structure 24,CC1=NN(CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)/C2=N\C(C3=C(C(C)C)C=CC=C3)=N/C=C\12,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,26,usp1_ic50_grade,++++
Compound Structure 25,CC(C)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,27,usp1_ic50_grade,++++
Compound Structure 26,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC(F)F)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,30,usp1_ic50_grade,++++
Compound Structure 27,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CCC5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,31,usp1_ic50_grade,++++
Compound Structure 28,CCOC1=NC=NC(OCC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4CC)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,32,usp1_ic50_grade,++++
Compound Structure 29,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C)C=NN4C(C)C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,33,usp1_ic50_grade,++++
Compound Structure 3,CC1=CC=CC(S(C)(=O)=O)=C1C1=NC2=C(C=N1)/C=N\N2CC1=CC=C(C2=NC(C(F)(F)F)=CN2C)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,5,usp1_ic50_grade,++
Compound Structure 30,CCOC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,34,usp1_ic50_grade,++++
Compound Structure 31,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=CN(C)C(C(F)(F)F)=N5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,35,usp1_ic50_grade,+++
Compound Structure 32,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,36,usp1_ic50_grade,+++
