compound_id,smiles_raw,dataset_id,provenance_file,provenance_sheet,provenance_row
87,O=C1C2C(=C(F)C=CC=2F)NC(=C1C(=O)C1C=CC=CC=1)S(=O)CC1=CC=C(C=C1)[S](F)(F)(F)(F)F,2017,raw/2017_1020170094694_raw.xlsx,표3,87
88,CC1=CC(CS(=O)/C2=C(\C(=O)C3=CC=CC=C3)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,2017,raw/2017_1020170094694_raw.xlsx,표3,88
89,COC(=O)C1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)O1,2017,raw/2017_1020170094694_raw.xlsx,표3,89
90,CC(=O)/C1=C(\S(=O)CN2C(=O)C3=C(C=CC=C3)C2=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,90
91,COC(=O)C1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)C=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,91
92,O=C1C2C(=CC=CC=2OC)NC(=C1C(=O)C)SCC3=CC=C(C=C3)[S](F)(F)(F)(F)F,2017,raw/2017_1020170094694_raw.xlsx,표3,92
93,O=C(C)C1=C(S(=O)CC3=CC=C(C=C3)[S](F)(F)(F)(F)F)NC2C(C1=O)=C(OC)C=CC=2,2017,raw/2017_1020170094694_raw.xlsx,표3,93
94,COC1=C2C(=O)/C(C(C)=O)=C(/S(=O)CC3=NOC(C)=C3)NC2=CC=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,94
95,CC1=CC(CS(=O)/C2=C(\C(=O)C(C)C)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=NO1,2017,raw/2017_1020170094694_raw.xlsx,표3,95
96,CC1=CC(CS(=O)/C2=C(\C(=O)C3CC3)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=NO1,2017,raw/2017_1020170094694_raw.xlsx,표3,96
97,CC1=CC(CS(=O)/C2=C(\C(=O)C3CC3)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,2017,raw/2017_1020170094694_raw.xlsx,표3,97
98,CC(=O)/C1=C(\S(=O)CC2=CC=C(C#N)S2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,98
99,CC(=O)/C1=C(\S(=O)CC2=CC=C(N3C=CC=N3)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,99
100,CC(=O)/C1=C(\S(=O)CC2=CC=C(N)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,100
101,ClC1=C2C(NC(=C(C(=O)C3CC3)C2=O)S(=O)CC4=CC=C(C=C4)SC(F)(F)F)=C(Br)C=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,101
102,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)N=C2C)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,102
103,CC(=O)/C1=C(\S(=O)CC2=CC=C(NS(C)(=O)=O)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,103
104,CC(=O)/C1=C(\S(=O)CC2=CC=C(Cl)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,104
105,COCCNC1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)C=N1,2017,raw/2017_1020170094694_raw.xlsx,표3,105
106,CC(=O)/C1=C(\S(=O)CC2=NON=C2C)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,106
107,CC(=O)/C1=C(\S(=O)CC2=C/N=C3/NC=C/C3=C\2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,107
