ex_no,provenance_file,provenance_sheet,provenance_row,variable,value
351,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,ki_b_nM,nan
351,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,ic50_null_uM,0.824
351,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,ic50_wt_uM,>10
352,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,ki_a_nM,0.14
352,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,ki_b_nM,nan
352,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,ic50_null_uM,0.2
352,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,ic50_wt_uM,8.09
353,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,ki_a_nM,0.02
353,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,ki_b_nM,nan
353,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,ic50_null_uM,0.073
353,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,ic50_wt_uM,1.51
354,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,ki_a_nM,0.29
354,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,ki_b_nM,nan
354,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,ic50_null_uM,0.378
354,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,ic50_wt_uM,>10
355,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,ki_a_nM,0.2
355,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,ki_b_nM,nan
355,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,ic50_null_uM,0.159
355,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,ic50_wt_uM,3.35
356,data/bronze/artifacts/2021_raw.xlsx,Table 19,59,ki_a_nM,0.02
356,data/bronze/artifacts/2021_raw.xlsx,Table 19,59,ki_b_nM,nan
356,data/bronze/artifacts/2021_raw.xlsx,Table 19,59,ic50_null_uM,0.035
356,data/bronze/artifacts/2021_raw.xlsx,Table 19,59,ic50_wt_uM,0.801
357,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,ki_a_nM,4.34
357,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,ki_b_nM,nan
357,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,ic50_null_uM,0.385
357,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,ic50_wt_uM,7.05
358,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,ki_a_nM,2.5
358,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,ki_b_nM,nan
358,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,ic50_null_uM,0.053
358,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,ic50_wt_uM,137
359,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,ki_a_nM,<0.1
359,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,ki_b_nM,nan
359,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,ic50_null_uM,0.208
359,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,ic50_wt_uM,4.74
360,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,ki_a_nM,0.08
360,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,ki_b_nM,nan
360,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,ic50_null_uM,0.199
360,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,ic50_wt_uM,4.81
361,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,ki_a_nM,2.1
361,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,ki_b_nM,nan
361,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,ic50_null_uM,0.116
361,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,ic50_wt_uM,3.22
362,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,ki_a_nM,0.11
362,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,ki_b_nM,nan
362,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,ic50_null_uM,0.106
362,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,ic50_wt_uM,2.46
363,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,ki_a_nM,0.2
363,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,ki_b_nM,nan
363,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,ic50_null_uM,0.326
363,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,ic50_wt_uM,7.16
364,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,ki_a_nM,0.18
364,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,ki_b_nM,nan
364,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,ic50_null_uM,0.227
364,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,ic50_wt_uM,6.2
365,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,ki_a_nM,0.42
365,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,ki_b_nM,nan
365,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,ic50_null_uM,0.391
365,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,ic50_wt_uM,>10
366,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,ki_a_nM,0.18
366,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,ki_b_nM,nan
366,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,ic50_null_uM,0.218
366,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,ic50_wt_uM,7.01
367,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,ki_a_nM,0.41
367,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,ki_b_nM,nan
367,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,ic50_null_uM,0.282
367,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,ic50_wt_uM,>10
368,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,ki_a_nM,0.14
368,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,ki_b_nM,nan
368,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,ic50_null_uM,0.411
368,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,ic50_wt_uM,7.66
369,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,ki_a_nM,0.17
369,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,ki_b_nM,nan
369,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,ic50_null_uM,0.138
369,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,ic50_wt_uM,3.4
370,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,ki_a_nM,0.79
370,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,ki_b_nM,nan
370,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,ic50_null_uM,0.194
370,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,ic50_wt_uM,5.62
371,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,ki_a_nM,0.01
371,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,ki_b_nM,nan
371,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,ic50_null_uM,0.069
371,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,ic50_wt_uM,1.39
372,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,ki_a_nM,0.33
372,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,ki_b_nM,nan
372,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,ic50_null_uM,0.124
372,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,ic50_wt_uM,2.41
373,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,ki_a_nM,0.03
373,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,ki_b_nM,nan
373,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,ic50_null_uM,0.159
373,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,ic50_wt_uM,1.37
374,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,ki_a_nM,0.48
374,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,ki_b_nM,nan
374,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,ic50_null_uM,0.341
374,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,ic50_wt_uM,8.57
375,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,ki_a_nM,0.87
375,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,ki_b_nM,nan
375,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,ic50_null_uM,0.064
375,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,ic50_wt_uM,2.13
376,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,ki_a_nM,0.02
376,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,ki_b_nM,nan
376,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,ic50_null_uM,0.062
376,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,ic50_wt_uM,1.51
377,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,ki_a_nM,0.07
377,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,ki_b_nM,nan
377,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,ic50_null_uM,0.061
377,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,ic50_wt_uM,2.56
378,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,ki_a_nM,0.04
378,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,ki_b_nM,nan
378,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,ic50_null_uM,0.34
378,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,ic50_wt_uM,6.96
379,data/bronze/artifacts/2021_raw.xlsx,Table 19,82,ki_a_nM,0.89
379,data/bronze/artifacts/2021_raw.xlsx,Table 19,82,ki_b_nM,nan
379,data/bronze/artifacts/2021_raw.xlsx,Table 19,82,ic50_null_uM,0.541
